Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe
ARCISATE;VARESE;Amm. Villa Cicogna Mazzoni sas;Lago;;303
ARCISATE;VARESE;ATAG;;;6
BIANDRONNO;VARESE;Area Soc. Whirlpool e Soc. Moto Italia;Cassinetta;-;12467
BRUNELLO;VARESE;AREA INDUSTRIALE  CBM s.r.l.. - CLS s.r.l.;CAMPO DI MAGGIO;21;2096
BRUNELLO;VARESE;ex AREA ITALTRACTOR/PASSINI/ITM;Campo di Maggio;;16308
BUSTO ARSIZIO;VARESE;CONSORZIO ACCAM;COMUNALE DI ARCONATE;121;3263
BUSTO ARSIZIO;VARESE;Ex area Piantanida;VIA ZAPPELLINI ANGOLO VICOLO LANDRIANI;;13835
BUSTO ARSIZIO;VARESE;Ex manifattura di Ferno - Proprietà Interpart P. R. 2/02 -P.E. 128/03 e 129/03;Mazzini - Dei Mille;-;5063
CARDANO AL CAMPO;VARESE;AREA CARABELLI-ex centrale idrocarburi;al Parco;48;15591
CARONNO PERTUSELLA;VARESE;BENASEDO SPA;ASIAGO;332;3278
CARONNO PERTUSELLA;VARESE;dipharma francis srl;origgio;23;9086
CARONNO PERTUSELLA;VARESE;Discarica abusiva rifiuti speciali;strada poderale in fregio SP 16;;1935
CARONNO PERTUSELLA;VARESE;SITAI INOX S.r.l.;ASIAGO;244;3632
CASORATE SEMPIONE;VARESE;AEREOPORTO MALPENSA- Aree A - B- C - ex-RAM oggi RAI;aereoporto;;9307
CASORATE SEMPIONE;VARESE;EX PV 3515, TOTAL Italia dismissione serbatoi;S.S 33 Sempione km 43+485;54;11106
CASSANO MAGNAGO;VARESE;ex Cava Gasparoli - Opera Infrastrutturale Pedemontana;tangenziale di Varese - tratta A8-A9 collegamento autostradale Dalmine-Como-Varese -Valico del Gaggiolo;;14986
CASTELLANZA;VARESE;Area di Via Campo Sportivo;Campo Sportivo;;7833
CASTELLANZA;VARESE;AREA EX MONTEDISON;SEMPIONE;13;2961
CASTELLANZA;VARESE;AREA VIA BRAMBILLA - PROPRIETA' PRIVATA;Brambilla;20;15886
CASTELLANZA;VARESE;EDIFICIO ARTIGIANALE EX TOTRNERIA MECCANICA;Brambilla;20;15887
CASTELLANZA;VARESE;Impianto di lavaggio Ditta Landini;Don Minzoni;52;5029
CASTRONNO;VARESE;AREA DI SERVIZIO AUTOSTRADA A8 - BRUGHIERA OVEST - P.V. ESSO 0665;A8;-;5174
CISLAGO;VARESE;Area Via Vismara;Vismara;;9180
CITTIGLIO;VARESE;PUNTO VENDITA AGIP N. S7082;394;;3685
CROSIO DELLA VALLE;VARESE;P.V. AGIP 2848;Risorgimento;12;5218
DAVERIO;VARESE;proprietà Biasatti  Via Boffalora;Boffalora;-;5094
DAVERIO;VARESE;P.V. TOTAL;Battisti;75;6201
FAGNANO OLONA;VARESE;Sversamento di idrocarburi  Fiume Olona;Pastrengo;29;5217
GALLARATE;VARESE;"area ""ex Officine del gas""";Matteotti;3;4373
GALLARATE;VARESE;Ex area industriale Cucirini Ardea;Bergamo;5/7;9871
GALLARATE;VARESE;TIFITEX SRL;ADIGE;12;3359
GAVIRATE;VARESE;P.V. Ex IP 6474;1 località Voltorre;-;5133
GERENZANO;VARESE;Discarica di Gerenzano;;;88
GORLA MINORE;VARESE;POZZO CARBOFUEL;;;3699
LAVENA PONTE TRESA;VARESE;COMPLESSO EDILIZIO TRESA PLASTIC-CNS1 COMPARTO 9A;Zanzi;;13996
LAVENO-MOMBELLO;VARESE;Area ex Ceramica Lago;De Angeli;s.n.c.;7403
LAVENO-MOMBELLO;VARESE;CERAMICA INDUSTRIALE DI LAVENO VERBANO COOP.  a.r.l.  - ex RICHARD GINORI;XXV Aprile;;97
LAVENO-MOMBELLO;VARESE;DISTRIBUTORE CARBURANTI;Reno;;15146
LONATE POZZOLO;VARESE;CANTIERE EX TESSITURA SOLBIATI;Giordano e Giassi loc.S.Antonino;;11248
LONATE POZZOLO;VARESE;Ex Fonderia Bottarini;S. Pellico;-;7945
LONATE POZZOLO;VARESE;PV AGIP 2872;"572 ""Bustese""";-;5202
LUINO;VARESE;Area di compostaggio, località Cucco di Voldomino;Gorizia;-;6427
MALNATE;VARESE;AREA EX RONCORONI MOLE ED EX SIOME;1° MAGGIO E VIA MACAZZOLA;;3680
MALNATE;VARESE;AREA EX SIOME, IMMOBILIARE OLMO;GORIZIA;;3197
MALNATE;VARESE;Cava CATTANEO;COMO;1;109
MALNATE;VARESE;Cava Maccecchini;Maccecchini;;10165
MARNATE;VARESE;Area stoccaggio rifiuti;Trento;;5058
MORNAGO;VARESE;"ex ""Galstaff Multiresine"" ora ""Hickson Coasting S.r.l.""";STAZIONE;90;2190
OGGIONA CON SANTO STEFANO;VARESE;Area Ex Tansini;Ronchetti;-;7650
ORIGGIO;VARESE;CLARIANT LSM ITALIA S.P.A.;EUROPA;5;2892
RANCO;VARESE;CAMPO SPORTIVO COMUNALE;QUASSA;;3297
SARONNO;VARESE;AREA DISMESSA EX STAMPERIA ITALIANA TESSUTI S.r.l. - proprietà GRANDI MARCHE FRANCESI Srl;SAMPIETRO;8;3694
SARONNO;VARESE;AREA IMMOBILIARE G.B. SARONNO SPA ex-Isotta Fraschini;MILANO;11;3363
SARONNO;VARESE;"Area industriale dismessa ""exManifattura Ceramica Pozzi"" - soc. I.R.I.D. Srl";Balasso;11;2262
SARONNO;VARESE;Area Industriale dismessa -  MECFIN S.P.A.;MILANO;7;2793
SARONNO;VARESE;AREA INDUSTRISALE DISMESSA;Sampietro;1;13846
SARONNO;VARESE;AREA PROPRIETA' PRIVATA;Raffaello Sanzio;14;16627
SARONNO;VARESE;AREA VIA ROMA;Roma;58;16567
SARONNO;VARESE;CANTIERE CEMSA SPA-EX DE NORA SPAISI - INVESTIMENTO SVILUPPO IMMOBILIARE SRL;FERRARI;;2356
SARONNO;VARESE;EX TINTORIA SARONNESE;Bainsizza;;15288
SARONNO;VARESE;IMMOBILIARE MARCONI SRL EX PARMA ANTONIO E FIGLI SPA;MARCONI;75;3289
SESTO CALENDE;VARESE;EX SIAI MARCHETTI;INDIPENDENZA;2;2966
SOLBIATE OLONA;VARESE;STABILIMENTO HEXION EX EX AREA BAKELITE ITALIA SPA;Mazzini;104;1878
SOMMA LOMBARDO;VARESE;AREA A SW DISCARICA DI VERGIATE;discarica;;16248
SOMMA LOMBARDO;VARESE;SITO INDUSTRIALE DISMESSO - Trasporti BrianeseG. & C. srl;Galilei;;9148
TAINO;VARESE;Area Ex Montedison;Campaccio;-;5215
TRAVEDONA-MONATE;VARESE;EX DISCARICA COMUNALE;Bosco;;14866
UBOLDO;VARESE;Area  SICAD SpA ex CONTARDO;Caduti della Liberazione;57;7647
UBOLDO;VARESE;Ditta  LU.VE.  SpA CONTARDO;Caduti della Liberazione;57;230
VARESE;VARESE;"Area comparto CA7, area ""Ex conciaria cornelia di Valle Olona""";Dalmazia;55;13406
VARESE;VARESE;Area Via Dalmazia 23;Dalmazia;23;5194
VARESE;VARESE;Azienda agricola;Vetta d'Italia;40;16413
VARESE;VARESE;ex-RFT S.P.A.;AURELIO SAFFI;12;3000
VARESE;VARESE;MV Agusta Motors spa;G Macchi - loc. Schiranna;144;9129
VARESE;VARESE;P.V. ESSO 673;EUROPA;82;3692
VARESE;VARESE;P.V. TOTAL 4233;Livarese Lissago;-;6482
VARESE;VARESE;SOC. CILES SRL;Vivirolo;9/15;13989
VENEGONO INFERIORE;VARESE;AERMACCHI SPA;AREA CAMPO VOLO;;3284
VENEGONO SUPERIORE;VARESE;ALENIA AERMACCHI;Paolo Foresio;1;16426
AROSIO;COMO;AREA VIA DE GASPERI;s.p 32;;16247
CADORAGO;COMO;P.V. TAMOIL ADS8701 Lario Ovest;A9;-;5019
CAMPIONE D'ITALIA;COMO;Area condominiale;Italia;7;14829
CANTU';COMO;P.V. ESSO 0768;Mazzini;20;4999
CAPIAGO INTIMIANO;COMO;Ex P.V. Q8 1482;Ariberto;34;10147
CARUGO;COMO;AREA EX NESPOLI;Cadorna;;11626
CASTELMARTE;COMO;EX DITTA GAL-FOR;Tagliamento;14;9810
COMO;COMO;AREA ADIBITA A PARCHEGGIO;Scalabrini;46;16186
COMO;COMO;Area Bellaria;Muggiò;-;6109
COMO;COMO;Area CARIM;Scalabrini;38;7966
COMO;COMO;Area condominiale;TORRIANI;30/32;3309
COMO;COMO;Area ex Ticosa;Grandi - Viale Roosevelt;-;6983
COMO;COMO;ex Tintoria Lombarda;Castellini;;9565
COMO;COMO;P.V. AGIP 1919;Rosselli;19;4983
FIGINO SERENZA;COMO;DISCARICA EX FERRIERE ORSENIGO;;;85
FINO MORNASCO;COMO;ex-COGNIS S.P.A  - BASF Italia s.p.a.;SCALABRINI;34;2955
GUANZATE;COMO;SINISTRO DEL 12/05/03 S.P. 25 RIBALTAMENTO AUTOCISTERNA;PATRIOTTI;-;3836
LOMAZZO;COMO;INVENYS CONTROLS ITALY SRL;del Seprio;42;10511
LOMAZZO;COMO;S.P. 23 località Malpensata;23;-;5002
LUISAGO;COMO;P.V. ERG CO211;Risorgimento S.S. 35 dei Giovi;-;8347
LUISAGO;COMO;Stabilimento Lechler;De Gasperi;1;4995
MAGREGLIO;COMO;Ex P.V. carburanti IP 41782;Adua;38;10448
MOLTRASIO;COMO;Sversamento gasolio presso area parcheggio;Durini;-;4994
MONGUZZO;COMO;P.V. AGIP 1902;7 Valassina;-;5005
MONTANO LUCINO;COMO;PROPRIETA' PRIVATA;Capueta;19;16609
MONTANO LUCINO;COMO;SVERSAMENTO OLIO 26.11.2012;Manzoni;12;15713
OLTRONA DI SAN MAMETTE;COMO;DITTA STAR SPA;DOMINIONI;2;3302
SOLBIATE;COMO;P.V. TOTALERG, ex CO178, S.S. 342 km 73+350;342;-;4996
SORICO;COMO;AREA DI DISCARICA EX FALCK - CAGIVA;PIAN DI SPAGNA;;2380
TAVERNERIO;COMO;P.V. Q8 1488;Briantea;23;5003
VERCANA;COMO;Area agricola;Antica Regina;-;3268
VERTEMATE CON MINOPRIO;COMO;Area ex galvanica Bosazzi;Giovanni XXIII;-;7483
VILLA GUARDIA;COMO;Leucadia S.p.a.;Via Monte Bianco;14;7770
VILLA GUARDIA;COMO;Residenza Petrarca, rimozione serbatoio interrato;Varesina ang. via Pascoli;-;16409
GORDONA;SONDRIO;Aree esterne ditta SPORTS RDP;SOTTO STALLA BINI;;2851
GORDONA;SONDRIO;Aree esterne ditta SPORTS RDP;SOTTO STALLA BINI;;2851
NOVATE MEZZOLA;SONDRIO;Ex acciaierie Falck di Novate Mezzola e discarica di Samolaco. Proprietà Novamet;36;;286
NOVATE MEZZOLA;SONDRIO;LARIO SCAVI SRL;BUSAN;;3282
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;Area Impianto di Termodistruzione Comunale;F. M. VISCONTI - Loc. Mendosio;nd;3634
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;AUTODEMO;PASCOLI ANG. FOGAZZARO;;3638
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;Ex-DISCARICA Comunale RSU area ex-depuratore;CASCINA FONTANA;nd;3633
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0425;Mazzini;84;4942
ABBIATEGRASSO;CITTA' METROPOLITANA DI MILANO;P.V. SHELL 49031;Mazzini;179/b;9873
ARCONATE;CITTA' METROPOLITANA DI MILANO;ditta Manifattura Castiglioni S.p.A.;Industria;52/54;2297
ARCONATE;CITTA' METROPOLITANA DI MILANO;EX VASCHE DI SPAGLIAMENTO DELLA FOGNATURA COMUNALE;;;2576
ARESE;CITTA' METROPOLITANA DI MILANO;Area ex ALFA ROMEO, FIAT AUTO, INGEST - Soc Immobiliare Estate Sei S.p.A.;KENNEDY;;301
ARESE;CITTA' METROPOLITANA DI MILANO;soc. Promez srl, ex TRE FIORI;Ospiate - Rho;;718
ARLUNO;CITTA' METROPOLITANA DI MILANO;DITTA SARPOM SPA;PER TURBIGO;;2773
ARLUNO;CITTA' METROPOLITANA DI MILANO;TIRO A VOLO ARLUNESE;PER CORBETTA;;2812
ASSAGO;CITTA' METROPOLITANA DI MILANO;Achille Immobiliare EX MINGHETTI & C. SRL, ex-CAM IMMOBILIARE Srl;DONIZETTI;6;3419
ASSAGO;CITTA' METROPOLITANA DI MILANO;AREA CARREFOUR;-;-;4001
ASSAGO;CITTA' METROPOLITANA DI MILANO;AREA SERBATOI PALAZZO A;palazzo a ingresso 3 strada 4;;11007
ASSAGO;CITTA' METROPOLITANA DI MILANO;Autotrasporti Gallotti Luciano srl - Sinistro del 19/12/06;Ovest - nei pressi dello svincolo per Genova;km 20+200;6486
ASSAGO;CITTA' METROPOLITANA DI MILANO;MTBE c/o svincolo tangenziale W;Milano serravalle;;12403
BERNATE TICINO;CITTA' METROPOLITANA DI MILANO;EX DISCARICA DI RIFIUTI SOLIDI URBANI LUNGO LA TRATTA CAV TO -MI;KM 98+000 DELLA TRATTA CAV TO-MI;-;4174
BINASCO;CITTA' METROPOLITANA DI MILANO;RESINDION SRL;ROGGIA BAREGGIA;;3448
BOLLATE;CITTA' METROPOLITANA DI MILANO;Area Agricola Malerba/Placidia;Ferraris;34;4713
BOLLATE;CITTA' METROPOLITANA DI MILANO;Area Agricola Malerba/Placidia;Ferraris;34;4713
BOLLATE;CITTA' METROPOLITANA DI MILANO;AREA EX SILPA;Milano;60;790
BOLLATE;CITTA' METROPOLITANA DI MILANO;AREA EX SILPA;Milano;60;790
BOLLATE;CITTA' METROPOLITANA DI MILANO;IMM.RE PLACIDIA S.R.L. IN LIQUIDAZIONE;FERRARIS;;2353
BOLLATE;CITTA' METROPOLITANA DI MILANO;IMM.RE PLACIDIA S.R.L. IN LIQUIDAZIONE;FERRARIS;;2353
BOLLATE;CITTA' METROPOLITANA DI MILANO;P.V. Shell 49049;Milano;31/33;12827
BOLLATE;CITTA' METROPOLITANA DI MILANO;P.V. Shell 49049;Milano;31/33;12827
BOLLATE;CITTA' METROPOLITANA DI MILANO;SET TELECOMUNICAZIONI SPA;BELGIOIOSO;;2402
BOLLATE;CITTA' METROPOLITANA DI MILANO;SET TELECOMUNICAZIONI SPA;BELGIOIOSO;;2402
BRESSO;CITTA' METROPOLITANA DI MILANO;NEMA Srl - LOMBARDA TRASFORMATORI;MARCONI;7;3643
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;area comunale;DELLA RESISTENZA;15;3572
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;Area di Via Lucania;LUCANIA;2;3147
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;Area ex La Triveneta Cavi gruppo LTC ex area Cabel;Libertà;5;9109
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;"Area ""ex SOLFRENE""Condominio Via Buozzi 22";PALERMO;31;4524
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;"Area ""ex SOLFRENE""Posteggio Penny Market";PALERMO;31;4533
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;Area Finlema - Ex-Cip4, ex-Grecale srl;PALERMO;31;3649
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;BRUSSA S.r.l.;DELLA RESISTENZA;62;3652
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;EUROPRESSVIT S.r.l.;VENETO;10;3622
BUCCINASCO;CITTA' METROPOLITANA DI MILANO;GALVANICA GENTILE S.r.l.;PIEMONTE;38;3650
BUSCATE;CITTA' METROPOLITANA DI MILANO;ex Industria Conciaria, ditta VALPO Srl, mappale 267 foglio10 - CPS Srl;MASCAGNI;8;2859
BUSSERO;CITTA' METROPOLITANA DI MILANO;MODERCROMO SRL;Genova;3;9266
BUSTO GAROLFO;CITTA' METROPOLITANA DI MILANO;DISCARICA RIFIUTI URBANI E ASSIMILABILI;BRUGHIEREZZA;;3206
BUSTO GAROLFO;CITTA' METROPOLITANA DI MILANO;Ditta Rimoldi Necchi srl;;;29
CALVIGNASCO;CITTA' METROPOLITANA DI MILANO;ditta Sodimec S.r.l.;Roggia Tolentina;;2303
CAMBIAGO;CITTA' METROPOLITANA DI MILANO;Ex cava GERRI;Gerri;;33
CANEGRATE;CITTA' METROPOLITANA DI MILANO;ITS, FIOR-GIEFFE;RAVENNA;;34
CANEGRATE;CITTA' METROPOLITANA DI MILANO;PV KUWAIT 1252;F.lli Bandiera;60;15855
CARPIANO;CITTA' METROPOLITANA DI MILANO;AREA AZIENDA AGRICOLA;Cascina Colnago;;7926
CARUGATE;CITTA' METROPOLITANA DI MILANO;FRABOADESIVI S.P.A.;GARIBALDI;76/78;2916
CASARILE;CITTA' METROPOLITANA DI MILANO;piano recupero  ZR4 -EX MACELLO;Binasco;76;13226
CASARILE;CITTA' METROPOLITANA DI MILANO;STABILIMENTO HENKEL LOCTITE ADESIVI S.r.l.;PUCCINI;65/67;3646
CASOREZZO;CITTA' METROPOLITANA DI MILANO;EX IMPIANTO DI DEPURAZIONE;;;3382
CASSINA DE'PECCHI;CITTA' METROPOLITANA DI MILANO;CONSORZIO CONSAGA;CASCINA SAN MORO;;3148
CASTANO PRIMO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa;Marconi;1;14842
CASTANO PRIMO;CITTA' METROPOLITANA DI MILANO;AREE SPAGLIAMENTO FOGNATURA LOC. MALVAGLIO E SOMELLI;-;-;3381
CERRO AL LAMBRO;CITTA' METROPOLITANA DI MILANO;CASCINA GAZZERA;CASCINA GAZZERA;;55
CERRO AL LAMBRO;CITTA' METROPOLITANA DI MILANO;Discarica  ex Chimica Saronio;per Melegnano;;56
CERRO MAGGIORE;CITTA' METROPOLITANA DI MILANO;EX CROMOS TNF SPA;statale saronese km 27,7;;14068
CERRO MAGGIORE;CITTA' METROPOLITANA DI MILANO;POLO BARAGGIA;cCerro e Rescaldina;;16113
CESANO BOSCONE;CITTA' METROPOLITANA DI MILANO;P.V. IP 42635;Pasubio;-;4939
CINISELLO BALSAMO;CITTA' METROPOLITANA DI MILANO;AREA DI SERVIZIO ADS LAMBRO SUD -PVF 0054;a4 km 135+900;;15429
CINISELLO BALSAMO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA ROBECCO;Robecco;69;9181
CINISELLO BALSAMO;CITTA' METROPOLITANA DI MILANO;PER BRESSO;Per Bresso;;15752
CINISELLO BALSAMO;CITTA' METROPOLITANA DI MILANO;P.V 2157 TAMOIL;Brianza;31;11109
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;Area Ex Sirom-CIS 24;Milano;-;8071
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;edificio a uso industriale EX AGOSTONI;Pisa;43;12286
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE MARTESANA SRL;MILANO;;3432
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;PIANO PARTCOLAREGGIATO C.I.S. 21, CASCINA  MELGHERA VIA CALAMANDREI, C.SO EUROPA, VIA CAVALLOTTI.;CALAMANDREI;;2674
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;PV 4038 TOTAL FINA ELF - COLOGNO EST;TANGENZIALE EST DIREZIONE NORD;;3494
COLOGNO MONZESE;CITTA' METROPOLITANA DI MILANO;TERRENI  VIALE EUROPA;Europa;0;15851
CORMANO;CITTA' METROPOLITANA DI MILANO;Area condominiale;XXIV Maggio;67;6039
CORMANO;CITTA' METROPOLITANA DI MILANO;Area EX NYMCO;dei Giovi;6;9141
CORMANO;CITTA' METROPOLITANA DI MILANO;Area ex Officine Standard;Galilei;-;7564
CORMANO;CITTA' METROPOLITANA DI MILANO;ex siai lerici;Leopardi angolo Europa;;15432
CORMANO;CITTA' METROPOLITANA DI MILANO;OROPRESS SPA;Statale dei Giovi;102/104;9391
CORMANO;CITTA' METROPOLITANA DI MILANO;SU.PER SRL;GRAMSCI;41;3445
CORNAREDO;CITTA' METROPOLITANA DI MILANO;DITTA LUBRA  S.p.A.;Edison;4;4059
CORNAREDO;CITTA' METROPOLITANA DI MILANO;EX DISCARICA DI RIFIUTI SOLIDI URBANI LUNGO LA TRATTA CAV TO-MI;KM 117 + 300;;4175
CORSICO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0426;Milano;9;4098
CORSICO;CITTA' METROPOLITANA DI MILANO;PVF 0469 ESSO ITALIANA Srl;Resistenza;48/50;2856
CUSAGO;CITTA' METROPOLITANA DI MILANO;UNIVAR SpA;VOLTA;49/51;3619
CUSANO MILANINO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0303;Dei Fiori;-;4508
GAGGIANO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa;ROMA E VIA GARIBALDI;;4115
GAGGIANO;CITTA' METROPOLITANA DI MILANO;Consorzio Agrario di Milano e Lodi;Marconi;-;6422
GAGGIANO;CITTA' METROPOLITANA DI MILANO;P.V. TAMOIL 6126;MANZONI;3/5;2777
GARBAGNATE MILANESE;CITTA' METROPOLITANA DI MILANO;AREA EX MOKARABIA;Roma;94;13830
GARBAGNATE MILANESE;CITTA' METROPOLITANA DI MILANO;HERMELIN BIGLIARDI S.R.L.;DELLE BRUGHIERE;4;2683
GARBAGNATE MILANESE;CITTA' METROPOLITANA DI MILANO;L'INCISIONE SPA;MERONI;26/28;2919
GORGONZOLA;CITTA' METROPOLITANA DI MILANO;P.V.Total n. 1194, ora TotalErg Spa;Provinciale S.P. 13 Km 12+140;-;10446
GUDO VISCONTI;CITTA' METROPOLITANA DI MILANO;Area Via Cornaggia 2 - Ditta Nula Antonino;Cornaggia;2;9450
INVERUNO;CITTA' METROPOLITANA DI MILANO;ex CROMATURA GARAGIOLA - ditta G.G.I. Garagiola Galvaniche Inveruno;PALESTRO;15;2876
INVERUNO;CITTA' METROPOLITANA DI MILANO;EX OLEIFICIO F.LLI BELLOLI;NOVEMBRE, MONTEBELLO, BRERA;;2920
INZAGO;CITTA' METROPOLITANA DI MILANO;CASCINA PIROGALLA;CASCINA PIROGALLA;;2922
LACCHIARELLA;CITTA' METROPOLITANA DI MILANO;OLEODOTTO SIGEMI- incidente del 9.5.2013;Mettone -SP 40 Melegnano/Binasco;;16346
LACCHIARELLA;CITTA' METROPOLITANA DI MILANO;OMAR ex PETROLDRAGON;;;94
LACCHIARELLA;CITTA' METROPOLITANA DI MILANO;SIGEMI- CASCINA CROCINA;KM 4 + 700;;3090
LAINATE;CITTA' METROPOLITANA DI MILANO;EX TRAFILERIE DI LAINATE;Manzoni;39;13726
LAINATE;CITTA' METROPOLITANA DI MILANO;"P.V. AGIP 51905, A8 ""Villoresi Ovest""";A8;-;4476
LEGNANO;CITTA' METROPOLITANA DI MILANO;Area dismessa di via Manzoni;Manzoni;43;13107
LEGNANO;CITTA' METROPOLITANA DI MILANO;AREA EX STASER;PISA;21;4071
LEGNANO;CITTA' METROPOLITANA DI MILANO;PENSOTTI - AREA A;S.Bernardino-Firenze-Sabotino-Pisa;;10706
LEGNANO;CITTA' METROPOLITANA DI MILANO;SITO INDUSTRIALE DISMESSO;Resegone;;13426
LEGNANO;CITTA' METROPOLITANA DI MILANO;VOLONTERIO FEDELE S.R.L.;CADORE;32;2926
LOCATE DI TRIULZI;CITTA' METROPOLITANA DI MILANO;Area Ex latteria San Giorgio;-;-;4717
MAGNAGO;CITTA' METROPOLITANA DI MILANO;EX VASCHE DI SPAGLIAMENTO FOGNATURA COMUNALE;;;3383
