Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe
MARCALLO CON CASONE;CITTA' METROPOLITANA DI MILANO;Area di Via Damiano Chiesa;Damiano Chiesa;-;15069
MARCALLO CON CASONE;CITTA' METROPOLITANA DI MILANO;EX DISCARICA DI RIFIUTI SOLIDI URBANI LUNGO TRATTA CAV TO-MI;KM 105 + 300 DELLA TRATTA CAV TO-MI;;4173
MEDIGLIA;CITTA' METROPOLITANA DI MILANO;Ca' del Lambro;;;115
MEDIGLIA;CITTA' METROPOLITANA DI MILANO;MAPEI - parco serbatoi;Provinciale;159;13752
MELZO;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 058- Impianto stradale vendita Carburanti;Cristoforo Colombo;5;3931
MELZO;CITTA' METROPOLITANA DI MILANO;stabilimento Mondadori;Marco Polo;2;7225
MILANO;CITTA' METROPOLITANA DI MILANO;ADS AGIP 12194 Cascina Gobba Ovest;Est Milano - Dir. Bologna;;7828
MILANO;CITTA' METROPOLITANA DI MILANO;AMSA SPA;ZAMA;31/33;7243
MILANO;CITTA' METROPOLITANA DI MILANO;AREA ALER -  ZAMA SALOMONE;SALOMONE /ZAMA;;2753
MILANO;CITTA' METROPOLITANA DI MILANO;AREA AMBROS SARO;De Amicis;20-22;12526
MILANO;CITTA' METROPOLITANA DI MILANO;AREA AMSA;Olgettina;23-25;15148
MILANO;CITTA' METROPOLITANA DI MILANO;AREA ARTIGIANALE DISMESSA;Cola di Rienzo/Montecatini;5/7;15890
MILANO;CITTA' METROPOLITANA DI MILANO;AREA ARTIGIANALE DISMESSA;Troya angolo S.Cristoforo;24/32;12426
MILANO;CITTA' METROPOLITANA DI MILANO;AREA AUTORIMESSA VARESINA;Panfilo Nuvolone;5;13246
MILANO;CITTA' METROPOLITANA DI MILANO;AREA CASCINA MEZZATE;Manzù;;16306
MILANO;CITTA' METROPOLITANA DI MILANO;AREA CASCINA S. GIUSEPPE;ADRIANO;-;3968
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale;MEDA;34;3991
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale;TULIPANI;13;3109
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale  -  dismissione serbatoio interrato;astico;12/14;3763
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale - rimozione serbatoio;Magenta;65;4314
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale - Rimozione serbatoio;cuoco;4;3716
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale - serbatoi centrale termica;della Marna;7/9;4362
MILANO;CITTA' METROPOLITANA DI MILANO;AREA CONDOMINIO;Colombo;5;15628
MILANO;CITTA' METROPOLITANA DI MILANO;AREA CONDOMINIO;Costanza;41;15152
MILANO;CITTA' METROPOLITANA DI MILANO;Area di Largo Giambellino 129;Largo Giambellino;129;8046
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI PROPRIETA DI MIR IMMOBILIARE;Privata Chieti;9/1;11107
MILANO;CITTA' METROPOLITANA DI MILANO;Area dismessa - ex autodemolizioni;LITTA MODIGNANI;98;3470
MILANO;CITTA' METROPOLITANA DI MILANO;Area  Dismessa Ex Centrale del Latte;Castelbarco;27;9354
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA ADRIANO 6O ALER;Adriano;60;15529
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA AJRAGHI 40;AJRAGHI;40;3911
MILANO;CITTA' METROPOLITANA DI MILANO;Area di Via Alberto Mario 15-19;Alberto Mario;15 - 19;11866
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA ALTAGUARDIA;Altaguardia;11;12632
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA BREMBO;Brembo;3;13999
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA CERMENATE;Ceermenate;38;15513
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA COGNE;Cogne;0;16126
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA DEMOSTENE;Demostene;10;15456
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA EINSTEIN;Einstein;6;14207
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA FRASSINETTI;Frassinetti;25;9485
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA FREIKHOFEL;Freikhofel;26;16445
MILANO;CITTA' METROPOLITANA DI MILANO;Area di Via Gallarate 263-265-267-269-271-273-275;Gallarate;-;12957
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA GASTONE DA FOIX;Gastone da Foix/Attendolo Muzio Sforza;;14085
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA GIUDICE DONADONI;Giudice Donadoni;6;15531
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIALE FORLANINI;Forlanini;65/75;14446
MILANO;CITTA' METROPOLITANA DI MILANO;Area di Via le Toscana - ex Vetreria Lusvardi;Toscana;13;10365
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA MASINA;Masina;5;16327
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA MIRAMARE;Miramare;10;15511
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA PASTORELLI;Pastorelli;19;16386
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA PIAZZALE DELLO SPORT;Via Piazzale dello Sport;12;15514
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA PRINCIPE EUGENIO 1, 3, 5;Principe Eugenio;1,3,5;13347
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA RIZZARDI;Fratelli Rizzardi;45;14836
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA RIZZOLI;Rizzoli;;14130
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA SALA;Sala;12;9946
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA TORINO, PALLA, LUPETTA;Torino, Palla, Lupetta;;15512
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA TREBAZIO 4;Trebazio;4;15528
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA VARESINA 60;Varesina;60;16448
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA VIPACCO 38;Vipacco;38;15460
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX COSTANTE SESINO S.p.A.;DOBERDO';28;3933
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX ENEL - ISOLATO 2;Bramante;49;15894
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX FAEMA;VENTURA;15;2556
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX FIERA contractor TRE TORRI;-;-;4191
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX IVI PPG POLITECNICO;La Masa;17 -20;15874
MILANO;CITTA' METROPOLITANA DI MILANO;Area Ex LUCEPLAN S.p.a.;Moneta;46;6424
MILANO;CITTA' METROPOLITANA DI MILANO;Area EXPO 2015;Milano-Rho;;15007
MILANO;CITTA' METROPOLITANA DI MILANO;Area ex Senesi;Oslavia;21;7631
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX SILBAR;ANDREA PONTI;5;3877
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX SQUEO;CUOCO E V.LE PUGLIE;;3950
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX STAZIONE DI PORTA VITTORIA - SETTORE UCP5, UCP3 e BEIC;-;-;3949
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX TESSITURA ROSINA;Privata Antonio da Saluzzo;5;12846
MILANO;CITTA' METROPOLITANA DI MILANO;AREA EX TIBB MILANO;LODI;3;2589
MILANO;CITTA' METROPOLITANA DI MILANO;AREA GARIBALDI REPUBBLICA - PARCO FONDAZIONE CATELLASOCIETA' IN.G.RE. S.C.R.L.;GAETANO DE CASTILLIA;28;5395
MILANO;CITTA' METROPOLITANA DI MILANO;AREA GARIBALDI REPUBBLICA - PARCO FONDAZIONE CATELLASOCIETA' IN.G.RE. S.C.R.L.;GAETANO DE CASTILLIA;28;5396
MILANO;CITTA' METROPOLITANA DI MILANO;AREA IDEA SRL;Orsini;11;13986
MILANO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa;Pichi;15;15450
MILANO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa;VEZZA D'OGLIO;8;2639
MILANO;CITTA' METROPOLITANA DI MILANO;AREA INDUSTRIALE DISMESSA - ADAMELLO S.A.S.;TACITO;8;3704
MILANO;CITTA' METROPOLITANA DI MILANO;Area industriale dismessa - Ex S.I.S.;ISARCO;2;15252
MILANO;CITTA' METROPOLITANA DI MILANO;AREA INTERMEDRI;PANTELLERIA;4;3953
MILANO;CITTA' METROPOLITANA DI MILANO;AREA  ISTITUTO FARMACEUTICO MARIO NEGRI;Eritrea angolo Via De Pisis-Via Aldini;62, 9;16326
MILANO;CITTA' METROPOLITANA DI MILANO;"AREA I.T.I.S. ""GIORGI""";liguria;21;3707
MILANO;CITTA' METROPOLITANA DI MILANO;AREA LACERENZA;Alessandro Litta Modignani;112/114;14433
MILANO;CITTA' METROPOLITANA DI MILANO;AREA LA PIAZZA - EX PATTERSON PIRELLI - BICOCCA;;;2703
MILANO;CITTA' METROPOLITANA DI MILANO;AREA MAIN WALL;Varesina;91;13247
MILANO;CITTA' METROPOLITANA DI MILANO;Area nuova sede Regione Lombardia;Melchiorre Gioia;-;4256
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PARCO U3 - Garibaldi Repubblica;Gioia/Liberazione;;16387
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PII ISOLA-LUNETTA;De Castillia;14/16;14084
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PIRELLI;CAVIGLIA;3;2695
MILANO;CITTA' METROPOLITANA DI MILANO;Area Pirelli Bicocca-Collina dei Ciliegi;Sarca;136;276
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PROPRIETA BOCCONI;Bligny;22;15736
MILANO;CITTA' METROPOLITANA DI MILANO;AREA PUNTO VENDITA Q8;RONCHI;21;3732
MILANO;CITTA' METROPOLITANA DI MILANO;AREA RAGIT;CHIASSERINI;68;3874
MILANO;CITTA' METROPOLITANA DI MILANO;AREA SERBATOIO C/O STABILE;Ippodromo- p.le dello Sport;134;12634
MILANO;CITTA' METROPOLITANA DI MILANO;AREA SERVIZIO 2527;Muggiano est;;16130
MILANO;CITTA' METROPOLITANA DI MILANO;Area Sexta srl;Monviso;17;15169
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Arrighi;Arrighi;19;4403
MILANO;CITTA' METROPOLITANA DI MILANO;AREA Via Boezio;Boezio;20;16431
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA BRUNI Monomilano;Bruni;10;12506
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA BRUZZESI ANGOLO GIAMBELLINO;Bruzzesi/angolo Giambellino;36;15316
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA CALABRIA ANGOLO VIA CANTONI;Calabria angolo Cantoni;0;11829
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA CARLO TORRE;Carlo Torre;39/41;16526
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Concilio Vaticano II e Via Cascina dei Prati;Concilio Vaticano II e Via Cascina dei Prati;-;8227
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA DEI MOCENIGO;dei Mocenigo;7/9;11386
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA DON MINZONI 27-29;Don Minzoni;27-29;15458
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA E.T.MONETA mappale 219;Moneta;;15725
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA G. DA CERMENATE;G.da Cermenate;38;15524
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA INGANNI;Inganni;12;16311
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA LOMELLINA;Lomellina;28;15733
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA LUNIGIANA SOFIBI SRL;Lunigiana;39;12400
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA MANTEGNA 6;Mantegna;6;15264
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Pellizzone 4;Pellizzone;4;16407
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA PEZZOTTI;Pezzotti;6;15629
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA ROVELLO;Rovello;14/16;15718
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Rubattino;Rubattino;84;4387
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VIA SAVONA 25;Savona;25;15147
MILANO;CITTA' METROPOLITANA DI MILANO;Area Via Terzaghi;Terzaghi;-;4317
MILANO;CITTA' METROPOLITANA DI MILANO;Area via  Verne 1;Verne;1;12958
MILANO;CITTA' METROPOLITANA DI MILANO;AREA VOLTRI/DI RUDINI;Voltri-Di Rudini;;15852
MILANO;CITTA' METROPOLITANA DI MILANO;ATM NUOVO DEPOSITO TRANVIARIO DI PRECOTTO linea 1 Metropolitana;ANASSAGORA;11;3884
MILANO;CITTA' METROPOLITANA DI MILANO;B.G.T Impresa di costruzioni srl;Cola di Rienzo;12;12398
MILANO;CITTA' METROPOLITANA DI MILANO;BROGGI EGIDIO snc;GENTILINO;13/A;3839
MILANO;CITTA' METROPOLITANA DI MILANO;Carrozzeria Alfieri;Bertini;19;16631
MILANO;CITTA' METROPOLITANA DI MILANO;CASA DI CURA CAPITANIO - dismissione serbatoi;MERCALLI;30;3873
MILANO;CITTA' METROPOLITANA DI MILANO;CASCINA PALMA;Rogoredo;16;13466
MILANO;CITTA' METROPOLITANA DI MILANO;CEMAR S.a.s.;Lombroso;54;4360
MILANO;CITTA' METROPOLITANA DI MILANO;CO FI SE, SOCIETA' ITALIANA CALZATURE SPA;MECENATE;76;3111
MILANO;CITTA' METROPOLITANA DI MILANO;COMPARTO EX  PHARMACIA;Imbonati;24;14126
MILANO;CITTA' METROPOLITANA DI MILANO;CONDOMINI DI VIA TERAMO;TERAMO, 9/10 - 5/6 - 3/4;;3910
MILANO;CITTA' METROPOLITANA DI MILANO;CONDOMINIO DI VIA LIUTPRANDO;Liutprando;9;14838
MILANO;CITTA' METROPOLITANA DI MILANO;DEPOSITO AUTOMAROCCHI SPA - SHELL ITALIA;DELLA CHIESA ROSSA;277;2521
MILANO;CITTA' METROPOLITANA DI MILANO;DISTRIBUTORE API;BASSINI;35;2541
MILANO;CITTA' METROPOLITANA DI MILANO;EFFEPIUNO S.r.l.;FANTOLI;6;3717
MILANO;CITTA' METROPOLITANA DI MILANO;ELECTROCLEANING S.r.l.;MELI;30;3966
MILANO;CITTA' METROPOLITANA DI MILANO;ESSO ITALIANA SRL;PONTE NUOVO;15;3084
MILANO;CITTA' METROPOLITANA DI MILANO;EX ANSALDO;SARCA;336;6460
MILANO;CITTA' METROPOLITANA DI MILANO;Ex area industriale La Forgiatura;Varesina;;8244
MILANO;CITTA' METROPOLITANA DI MILANO;EX ARRIGO PINI;Verro;21;15457
MILANO;CITTA' METROPOLITANA DI MILANO;EX  AUSCHEM;DE NOTARIS;;2512
MILANO;CITTA' METROPOLITANA DI MILANO;Ex Calchi e Taeggi e Carmagnani,  ex cava Geregnano tra le vie: Lorenteggio, Gonin, Giordani e Bisceglie;Gonin;36;2229
MILANO;CITTA' METROPOLITANA DI MILANO;EX CARROZZERIA BELVEDERE;San Bernardo;22;10969
MILANO;CITTA' METROPOLITANA DI MILANO;ex cava Lucchini;;;274
MILANO;CITTA' METROPOLITANA DI MILANO;EX DEPOSITO OLI MINERALI;PADOVA;401;3823
MILANO;CITTA' METROPOLITANA DI MILANO;ex Distillerie Lombarde di Catrame, CASCINA ROSSA SRL;Cosenz;54;130
MILANO;CITTA' METROPOLITANA DI MILANO;EX FELTRINELLI;lambruschini;33;9770
MILANO;CITTA' METROPOLITANA DI MILANO;ex Ferriera Redaelli Società Milano Santa Giulia;ROGOREDO;7;128
MILANO;CITTA' METROPOLITANA DI MILANO;EX F.M.C;Pitteri;8;10672
MILANO;CITTA' METROPOLITANA DI MILANO;EX FONDERIE VEDANI;Schievano;7;9287
MILANO;CITTA' METROPOLITANA DI MILANO;ex INDUSTRIE CHIMICHE MEOTTI;Richard;24;9311
MILANO;CITTA' METROPOLITANA DI MILANO;ex MAGGIONI;FORLANINI;23;131
MILANO;CITTA' METROPOLITANA DI MILANO;EX NEOBIT - 2;San Faustino;46;13932
MILANO;CITTA' METROPOLITANA DI MILANO;Ex pompe Peroni;delle Forze Armate;310/5 314;14527
MILANO;CITTA' METROPOLITANA DI MILANO;EX PUNTO VENDITA API;rucellai;50;3730
MILANO;CITTA' METROPOLITANA DI MILANO;EX PUNTO VENDITA COLORI IP - CENTRAL NORD GAS S.r.l.;RONCAGLIA;12/14;4127
MILANO;CITTA' METROPOLITANA DI MILANO;EX P.V.  2227 TAMOIL ITALIA SPA;CASSINIS;14;2831
MILANO;CITTA' METROPOLITANA DI MILANO;Ex P.V. 8482 Tamoil Piazzale Farina;Farina;15;8917
MILANO;CITTA' METROPOLITANA DI MILANO;EX P.V. COLORI TAMOIL;DE SANCTIS;11/A;3927
MILANO;CITTA' METROPOLITANA DI MILANO;Ex PV di Via Sabaudia 4 società Sperati Attilio e C. carburanti Lubrificanti;Sabaudia;4;15366
MILANO;CITTA' METROPOLITANA DI MILANO;EX PV Q8 N. 1156;Lorenteggio;243;15509
MILANO;CITTA' METROPOLITANA DI MILANO;ex Schlumberger;SAVONA;97;134
MILANO;CITTA' METROPOLITANA DI MILANO;EX SIAPI;Bressan;29/31;15428
MILANO;CITTA' METROPOLITANA DI MILANO;EX STAZIONE DI PORTA VITTORIA - SETTORE RESIDENZIALE;CENA;;3941
MILANO;CITTA' METROPOLITANA DI MILANO;EX TENAX - FLEXA SIS ORA AREA R.O.M.A.;COLICO;3/5;14306
MILANO;CITTA' METROPOLITANA DI MILANO;FONDAZIONE E.A FIERA INTERNAZIONALE  DI MILANO AREA CERNIERA;c/o Polo Fiera Milano;;15248
MILANO;CITTA' METROPOLITANA DI MILANO;Immobile in Via S. Sandri, 1;Sandro Sandri;1;11229
MILANO;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE CRISTALLO;Lorenteggio;246;16310
MILANO;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE FANTI SRL;Mezzofanti;11;15627
MILANO;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE FOLLI;Folli;24/30;12399
MILANO;CITTA' METROPOLITANA DI MILANO;INIZIATIVE INDUSTRIALI MILANO S.P.A., AREA MAGNAGHI AEROSPACE SPA;STAMIRA D'ANCONA;27;2825
MILANO;CITTA' METROPOLITANA DI MILANO;MAGNIFICAE DOMUS S.r.l. - AREA EX OFFICINE MECCANICHE SACERDOTI;BREDA;120;4125
MILANO;CITTA' METROPOLITANA DI MILANO;MAX MAYER-DUCO, PPG Industries Italia Srl;COMASINA;121;2568
MILANO;CITTA' METROPOLITANA DI MILANO;METROPOLITANA 5 - DEPOSITO MARINO;Fulvio Testi;329;9446
MILANO;CITTA' METROPOLITANA DI MILANO;METROPOLITANA M5 POZZO PONALE-BIGNAMI;isola bignami;;10691
MILANO;CITTA' METROPOLITANA DI MILANO;METROPOLITANA MILANESE M5 AREA  PI ISOLA-LUNETTA;Garibaldi-Isola;;9431
MILANO;CITTA' METROPOLITANA DI MILANO;MILANOSERRAVALLE - MILANOTANGENZIALI;A51 TANG. EST MILANO;';3586
MILANO;CITTA' METROPOLITANA DI MILANO;MILANO VIA CONCONI 7 -AREA C;Conconi;7;13567
MILANO;CITTA' METROPOLITANA DI MILANO;nosedo, ex discarica Porto di Mare;San Arialdo;;129
MILANO;CITTA' METROPOLITANA DI MILANO;NUOVO DEPOSITO AUTOBUS ATM;MARIGNANO;;3977
MILANO;CITTA' METROPOLITANA DI MILANO;OFFICINE METALLURGICHE BROGGI S.p.A.;LAMBRUSCHINI;4;3770
MILANO;CITTA' METROPOLITANA DI MILANO;Ospedale Maggiore Policlinico di Milano, Riqualificazione area LOTTO 1B;Sforza;28/25;13936
MILANO;CITTA' METROPOLITANA DI MILANO;Ospedale Niguarda Cà Granda, dismissione impianto produttivo;dell'Ospedale Maggiore;3;4401
MILANO;CITTA' METROPOLITANA DI MILANO;PALAZZINA DI VIA TIBALDI;Tibaldi;28;14426
MILANO;CITTA' METROPOLITANA DI MILANO;Penta Costruzioni S.r.l.;Binda;16;5564
MILANO;CITTA' METROPOLITANA DI MILANO;PIANO FAMAGOSTA-MAGGI-PALATUCCI-DEL MARE proprietà IRIS SRL;Famagosta-maggi-palatucci-del mare;;11708
MILANO;CITTA' METROPOLITANA DI MILANO;PICCARDINO S.r.l.;COLUMELLA;16;3972
MILANO;CITTA' METROPOLITANA DI MILANO;PII EX CARTIERE BINDA -LOTTO U4;Alzaia Naviglio Pavese;260;13847
MILANO;CITTA' METROPOLITANA DI MILANO;"PII Santa Giulia - ""Montecity-Rogoredo"" proprietà Milano Santa Giulia s.p.a.";Bonfadini;148;13350
MILANO;CITTA' METROPOLITANA DI MILANO;PPG  INDUSTRIES - AREA NORD E AREA SUD;La Masa;19,20;137
MILANO;CITTA' METROPOLITANA DI MILANO;PRU Pompeo Leoni/pietrasanta area ex Pirelli;Ripamonti;88;2222
MILANO;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA AGIP 54367;GALLARATE;391;3771
MILANO;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA AGIP N. 2523;FANTOLI;18;3734
MILANO;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA IP 2348;REMBRANDT;70;3960
MILANO;CITTA' METROPOLITANA DI MILANO;PUNTO VENDITA SHELL N. 49491;DE GASPERI;2/4;3885
MILANO;CITTA' METROPOLITANA DI MILANO;PV 1302, TOTAL FINA ELF ITALIA SPA;BACCHIGLIONE;21;3092
MILANO;CITTA' METROPOLITANA DI MILANO;PV 575, ESSO ITALIANA SRL;MECENATE - ANGOLO VIA FANTOLI;95;3081
MILANO;CITTA' METROPOLITANA DI MILANO;P.V.  ACI - ANG. VIA TRAIANO;ACCURSIO;;3408
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. AGIP 2246;TOSCANA - Largo Beethoven;;3957
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. AGIP N 12310;CADUTI DEL LAVORO;;2756
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. AGIP N. 55673;GALLARATE;40;3954
MILANO;CITTA' METROPOLITANA DI MILANO;P.V. AGIP PETROLI. Punto vendita n.2118;BELFANTI;;2584
MILANO;CITTA' METROPOLITANA DI MILANO;PV CARBURANTI BEYFIN;Ripamonti;483;16087
